,city,recreation_score,rec_entertainment,costs,parks,weather,latitude,longitude,health_score,health_rank,food_rank,fitness_rank,greenspace_rank,happiness_score,hap_entertainment,income_employment,community_environment
52,"Fort Worth, TX",42.65,63,58,56,32,32.7554883,-97.3307658,41.28,69,53,58,87,62.35,24,49,30
53,"Dallas, TX",42.57,31,34,50,72,32.7766642,-96.79698789999999,46.69,82,21,34,55,59.82,19,60,68
54,"Houston, TX",42.42,24,67,33,86,29.7604267,-95.3698028,48.3,76,19,22,58,55.33,38,73,77
55,"North Las Vegas, NV",42.37,91,73,32,5,36.1988592,-115.1175013,34.79,100,90,94,44,47.19,87,87,55
56,"Milwaukee, WI",42.0,36,32,35,95,43.0389025,-87.9064736,45.5,63,34,64,38,48.75,67,95,81
57,"Baton Rouge, LA",41.98,43,30,80,54,30.4514677,-91.18714659999999,34.8,98,89,80,83,48.56,77,51,93
58,"Tulsa, OK",41.91,59,44,78,30,36.1539816,-95.99277500000001,38.68,61,80,87,68,46.5,94,46,61
59,"Corpus Christi, TX",41.58,60,20,38,66,27.8005828,-97.39638099999999,33.74,84,91,91,90,51.5,80,8,69
60,"Greensboro, NC",41.39,69,11,44,57,36.0726354,-79.7919754,42.72,51,84,57,44,54.9,54,52,54
61,"Bakersfield, CA",41.26,95,39,94,2,35.3732921,-119.0187125,37.04,88,64,83,94,50.98,77,41,70
62,"Mesa, AZ",41.2,73,65,71,20,33.4151843,-111.8314724,43.83,45,51,45,88,59.25,43,64,26
63,"Raleigh, NC",41.09,46,14,83,79,35.7795897,-78.6381787,56.55,6,16,2,52,64.99,7,23,48
64,"Norfolk, VA",40.9,55,69,17,62,36.8507689,-76.28587259999999,41.22,50,74,79,60,49.97,71,71,79
65,"Nashville, TN",40.89,27,54,59,88,36.1626638,-86.7816016,46.08,52,28,57,49,55.34,70,53,19
66,"Buffalo, NY",40.51,32,56,36,100,42.88644679999999,-78.8783689,45.8,36,44,74,42,49.22,80,69,65
67,"Stockton, CA",40.47,97,76,46,10,37.9577016,-121.2907796,37.38,92,70,71,92,48.35,65,82,91
68,"Gilbert, AZ",40.38,80,16,98,14,33.3528264,-111.789027,47.89,13,55,35,69,65.07,30,26,6
69,"Winston-Salem, NC",40.35,76,47,73,39,36.09985959999999,-80.244216,35.2,68,98,75,93,51.44,64,65,78
70,"San Bernardino, CA",40.23,99,79,99,8,34.1083449,-117.2897652,35.6,99,81,90,58,49.56,69,74,92
71,"Lubbock, TX",39.7,82,28,67,48,33.5778631,-101.8551665,36.94,77,96,63,83,52.29,73,9,78
72,"Boston, MA",39.68,21,98,3,98,42.3600825,-71.0588801,57.44,24,12,14,12,60.96,19,7,84
73,"San Jose, CA",39.58,71,86,40,23,37.3382082,-121.8863286,57.11,13,6,17,33,68.9,1,10,24
74,"Arlington, TX",39.46,68,68,87,36,32.735687,-97.10806559999999,39.4,61,69,73,88,61.73,22,70,33
75,"Baltimore, MD",39.11,41,78,23,89,39.2903848,-76.6121893,48.11,50,17,60,35,44.75,82,88,98
76,"Riverside, CA",39.07,77,83,92,1,33.9806005,-117.3754942,42.44,60,72,44,71,57.25,55,12,58
77,"Detroit, MI",38.65,78,62,31,60,42.331427,-83.0457538,32.3,99,81,97,75,29.19,100,99,100
78,"Fresno, CA",38.49,90,59,90,19,36.7377981,-119.7871247,39.49,90,52,76,81,48.86,70,65,87
79,"Indianapolis, IN",38.3,38,19,93,99,39.768403,-86.158068,40.76,93,57,64,64,47.83,81,97,49
80,"Santa Ana, CA",38.2,72,87,77,21,33.7454725,-117.867653,44.05,65,36,61,57,60.96,28,57,40
81,"Laredo, TX",38.16,98,21,91,31,27.5035613,-99.5075519,25.46,97,100,100,91,54.4,41,36,96
82,"Wichita, KS",37.98,81,3,75,85,37.68717609999999,-97.33005299999999,35.92,84,87,79,91,49.79,76,72,72
83,"Louisville, KY",37.87,44,45,79,91,38.2526647,-85.7584557,42.95,58,38,62,79,50.31,87,68,23
84,"Lexington-Fayette, KY",37.75,74,22,88,62,38.0405837,-84.5037164,40.82,31,59,87,82,54.13,62,42,62
85,"Toledo, OH",37.6,88,55,58,50,41.6528052,-83.5378674,33.73,79,79,95,96,39.48,98,94,82
86,"Newark, NJ",36.95,89,29,41,97,40.735657,-74.1723667,37.53,92,41,91,84,41.86,78,100,99
87,"Charlotte, NC",36.94,49,61,97,71,35.2270869,-80.8431267,49.53,29,31,18,65,61.22,29,51,31
88,"Aurora, CO",36.49,84,46,52,65,39.7294319,-104.8319195,50.21,31,48,16,37,61.83,14,66,57
89,"Garland, TX",36.43,96,74,84,33,32.912624,-96.63888329999999,38.6,89,67,75,75,61.86,17,66,57
90,"Fremont, CA",36.13,92,97,26,24,37.5485396,-121.988583,57.79,5,13,13,18,71.17,6,20,1
91,"Durham, NC",35.86,65,43,89,79,35.9940329,-78.898619,48.53,12,49,38,62,60.9,17,15,62
92,"Memphis, TN",35.16,70,35,96,87,35.1495343,-90.0489801,31.07,95,90,94,98,44.45,81,98,86
93,"Hialeah, FL",35.1,85,88,72,38,25.8575963,-80.2781057,37.02,74,22,98,100,54.33,37,88,93
94,"Anchorage, AK",34.83,62,91,14,82,61.2180556,-149.9002778,42.97,77,58,81,33,59.53,46,45,23
95,"Chula Vista, CA",34.69,100,82,85,29,32.6400541,-117.0841955,47.33,36,40,20,78,64.54,10,64,14
96,"Fort Wayne, IN",34.46,75,13,86,96,41.079273,-85.1393513,38.49,80,85,50,89,47.63,84,79,73
97,"Oakland, CA",33.95,61,95,68,51,37.8043514,-122.2711639,53.49,32,5,43,34,63.16,7,41,72
98,"Irving, TX",33.39,94,75,60,76,32.8140177,-96.9488945,38.52,86,71,59,94,64.07,15,9,66
99,"Jersey City, NJ",31.91,93,90,53,55,40.7177545,-74.0431435,43.4,42,28,85,72,56.85,51,92,18
