,city,recreation_score,rec_entertainment,costs,parks,weather,latitude,longitude,health_score,health_rank,food_rank,fitness_rank,greenspace_rank,happiness_score,hap_entertainment,income_employment,community_environment
53,"Dallas, TX",42.57,31,34,50,72,32.7766642,-96.7969879,46.69,141,36,60,90,59.82,35,109,123
54,"Houston, TX",42.42,24,67,33,86,29.7604267,-95.3698028,48.3,131,33,38,94,55.33,69,132,139
55,"North Las Vegas, NV",42.37,91,73,32,5,36.1988592,-115.1175013,34.79,173,154,163,71,47.19,157,158,99
56,"Milwaukee, WI",42,36,32,35,95,43.0389025,-87.9064736,45.5,109,59,111,62,48.75,122,172,147
57,"Baton Rouge, LA",41.98,43,30,80,54,30.4514677,-91.1871466,34.8,170,153,139,136,48.56,140,93,168
58,"Tulsa, OK",41.91,59,44,78,30,36.1539816,-95.992775,38.68,105,137,151,111,46.5,170,83,110
59,"Corpus Christi, TX",41.58,60,20,38,66,27.8005828,-97.396381,33.74,146,157,158,146,51.5,145,15,124
60,"Greensboro, NC",41.39,69,11,44,57,36.0726354,-79.7919754,42.72,88,144,100,72,54.9,97,94,98
61,"Bakersfield, CA",41.26,95,39,94,2,35.3732921,-119.0187125,37.04,153,110,145,154,50.98,139,74,126
62,"Mesa, AZ",41.2,73,65,71,20,33.4151843,-111.8314724,43.83,77,87,78,143,59.25,77,116,47
63,"Raleigh, NC",41.09,46,14,83,79,35.7795897,-78.6381787,56.55,11,27,4,85,64.99,13,41,87
64,"Norfolk, VA",40.9,55,69,17,62,36.8507689,-76.2858726,41.22,86,128,137,97,49.97,129,129,143
65,"Nashville, TN",40.89,27,54,59,88,36.1626638,-86.7816016,46.08,90,49,99,80,55.34,126,96,35
66,"Buffalo, NY",40.51,32,56,36,100,42.8864468,-78.8783689,45.8,63,76,128,68,49.22,144,126,117
67,"Stockton, CA",40.47,97,76,46,10,37.9577016,-121.2907796,37.38,160,120,123,150,48.35,118,150,165
68,"Gilbert, AZ",40.38,80,16,98,14,33.3528264,-111.789027,47.89,22,95,61,112,65.07,54,48,10
69,"Winston-Salem, NC",40.35,76,47,73,39,36.0998596,-80.244216,35.2,118,168,131,152,51.44,116,118,141
70,"San Bernardino, CA",40.23,99,79,99,8,34.1083449,-117.2897652,35.6,171,140,156,95,49.56,124,134,166
71,"Lubbock, TX",39.7,82,28,67,48,33.5778631,-101.8551665,36.94,133,165,109,135,52.29,133,16,142
72,"Boston, MA",39.68,21,98,3,98,42.3600825,-71.0588801,57.44,41,20,24,20,60.96,34,12,152
73,"San Jose, CA",39.58,71,86,40,23,37.3382082,-121.8863286,57.11,23,11,29,54,68.9,1,18,44
74,"Arlington, TX",39.46,68,68,87,36,32.735687,-97.1080656,39.4,106,119,127,144,61.73,40,128,59
75,"Baltimore, MD",39.11,41,78,23,89,39.2903848,-76.6121893,48.11,87,29,105,57,44.75,148,161,177
76,"Riverside, CA",39.07,77,83,92,1,33.9806005,-117.3754942,42.44,103,123,76,116,57.25,100,22,105
77,"Detroit, MI",38.65,78,62,31,60,42.331427,-83.0457538,32.3,172,139,169,122,29.19,181,181,181
78,"Fresno, CA",38.49,90,59,90,19,36.7377981,-119.7871247,39.49,155,90,133,132,48.86,127,119,158
79,"Indianapolis, IN",38.3,38,19,93,99,39.768403,-86.158068,40.76,161,98,112,105,47.83,147,177,89
80,"Santa Ana, CA",38.2,72,87,77,21,33.7454725,-117.867653,44.05,113,62,106,93,60.96,50,103,73
81,"Laredo, TX",38.16,98,21,91,31,27.5035613,-99.5075519,25.46,167,172,174,148,54.4,75,66,173
82,"Wichita, KS",37.98,81,3,75,85,37.6871761,-97.330053,35.92,145,149,138,149,49.79,138,131,130
83,"Louisville, KY",37.87,44,45,79,91,38.2526647,-85.7584557,42.95,101,65,108,128,50.31,158,124,42
84,"Lexington-Fayette, KY",37.75,74,22,88,62,38.0405837,-84.5037164,40.82,53,101,152,134,54.13,113,76,112
85,"Toledo, OH",37.6,88,55,58,50,41.6528052,-83.5378674,33.73,136,136,165,157,39.48,177,171,148
86,"Newark, NJ",36.95,89,29,41,97,40.735657,-74.1723667,37.53,159,70,159,137,41.86,141,182,180
